ref	timestamp	composite_score	decision	layer_scores	status	description
pipeline-migration	2026-03-23T18:17:24.970Z	77	auto_merge	typecheck:100,tests:100,code_quality:0	pending	Verified pipeline-migration
18	2026-03-23T18:22:01.743Z	98	auto_merge	typecheck:100,tests:100,code_quality:91	pending	Verified 18
21	2026-03-23T19:07:55.995Z	98	auto_merge	typecheck:100,tests:100,code_quality:91	pending	Verified 21
22	2026-03-23T19:10:40.024Z	98	auto_merge	typecheck:100,tests:100,code_quality:92	pending	Verified 22
23	2026-03-23T19:12:22.712Z	98	auto_merge	typecheck:100,tests:100,code_quality:93	pending	Verified 23
28	2026-03-23T20:07:04.195Z	99	auto_merge	typecheck:100,tests:100,code_quality:95	merged	Verified 28
29	2026-03-23T21:06:36.729Z	99	auto_merge	typecheck:100,tests:100,code_quality:95	pending	Verified 29
32	2026-03-23T22:23:37.583Z	99	auto_merge	typecheck:100,tests:100,code_quality:95	pending	Verified 32
33	2026-03-23T22:26:15.515Z	99	auto_merge	typecheck:100,tests:100,code_quality:95	pending	Verified 33
34	2026-03-23T22:30:12.428Z	99	auto_merge	typecheck:100,tests:100,code_quality:94	pending	Verified 34
